#histogram type: continuous-time histogram
#queueOccupancy
#lowerBound ; upperBound ; relative frequency
0,0;5,0;0,056056056056056056
5,0;10,0;0,055055055055055056
10,0;15,0;0,055055055055055056
15,0;20,0;0,055055055055055056
20,0;25,0;0,055055055055055056
25,0;30,0;0,055055055055055056
30,0;35,0;0,055055055055055056
35,0;40,0;0,055055055055055056
40,0;45,0;0,055055055055055056
45,0;50,0;0,5035035035035035
