#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
mean_batch_waiting_time (lag=0);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;2.5591028080611232E8;0.9983498349834983
mean_batch_waiting_time (lag=1);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;3.776085941730815E7;0.1473115798605472
mean_batch_waiting_time (lag=2);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;-179894.05013132095;-7.017974998792148E-4
mean_batch_waiting_time (lag=3);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;-8535500.8768875;-0.033298450789471405
mean_batch_waiting_time (lag=4);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;4116217.6439281106;0.01605807001042391
mean_batch_waiting_time (lag=5);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;1.0968512228795946E7;0.04279004477326715
mean_batch_waiting_time (lag=6);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;-590683.6022564769;-0.002304357898333122
mean_batch_waiting_time (lag=7);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;9316455.917342186;0.03634509015586002
mean_batch_waiting_time (lag=8);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;8762344.004471898;0.03418340468142781
mean_batch_waiting_time (lag=9);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;4470826.379503608;0.01744145942147194
mean_batch_waiting_time (lag=10);606;22678.259257721133;2.5633327300579187E8;16010.411394020826;0.705980613947248;4813.360354999995;112118.28695600001;7376910.0528540015;0.028778589553948852
