#histogram type: discrete-time histogram
#service_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,0010464046716905343
1,0;2,0;0,0010885984084522493
2,0;3,0;8,607522299389879E-4
3,0;4,0;0,0010548434190428772
4,0;5,0;0,0010885984084522493
5,0;6,0;9,873334402241331E-4
6,0;7,0;8,185584931772727E-4
7,0;8,0;0,0010210884296335053
8,0;9,0;9,28262208757732E-4
9,0;10,0;9,19823461405389E-4
10,0;11,0;9,95772187576476E-4
11,0;12,0;9,704559455194471E-4
12,0;13,0;0,0011139146505092783
13,0;14,0;9,95772187576476E-4
14,0;15,0;7,932422511202437E-4
15,0;16,0;0,0010548434190428772
16,0;17,0;0,0010885984084522493
17,0;18,0;9,45139703462418E-4
18,0;19,0;0,0010295271769858482
19,0;20,0;8,354359878819588E-4
20,0;21,0;9,62017198167104E-4
21,0;22,0;0,0010970371558045925
22,0;23,0;0,0010548434190428772
23,0;24,0;9,45139703462418E-4
24,0;25,0;9,95772187576476E-4
25,0;26,0;0,0011139146505092783
26,0;27,0;0,0011054759031569354
27,0;28,0;9,367009561100751E-4
28,0;29,0;8,607522299389879E-4
29,0;30,0;9,62017198167104E-4
30,0;31,0;8,945072193483599E-4
31,0;32,0;9,11384714053046E-4
32,0;33,0;0,0010042109349288192
33,0;34,0;0,0010126496822811621
34,0;35,0;9,367009561100751E-4
35,0;36,0;0,0010379659243381913
36,0;37,0;8,77629724643674E-4
37,0;38,0;0,0010548434190428772
38,0;39,0;0,0010548434190428772
39,0;40,0;9,45139703462418E-4
40,0;41,0;9,704559455194471E-4
41,0;42,0;0,0010210884296335053
42,0;43,0;8,607522299389879E-4
43,0;44,0;0,0010885984084522493
44,0;45,0;9,53578450814761E-4
45,0;46,0;9,53578450814761E-4
46,0;47,0;9,873334402241331E-4
47,0;48,0;9,7889469287179E-4
48,0;49,0;8,523134825866448E-4
49,0;50,0;0,0010126496822811621
50,0;51,0;9,704559455194471E-4
51,0;52,0;9,95772187576476E-4
52,0;53,0;9,367009561100751E-4
53,0;54,0;8,860684719960169E-4
54,0;55,0;9,704559455194471E-4
55,0;56,0;0,0010464046716905343
56,0;57,0;9,7889469287179E-4
57,0;58,0;9,19823461405389E-4
58,0;59,0;0,0010126496822811621
59,0;60,0;8,269972405296158E-4
60,0;61,0;9,029459667007029E-4
61,0;62,0;7,004160302444705E-4
62,0;63,0;0,0010042109349288192
63,0;64,0;9,704559455194471E-4
64,0;65,0;9,95772187576476E-4
65,0;66,0;0,0011392308925663075
66,0;67,0;9,45139703462418E-4
67,0;68,0;9,11384714053046E-4
68,0;69,0;9,62017198167104E-4
69,0;70,0;9,704559455194471E-4
70,0;71,0;8,101197458249298E-4
71,0;72,0;0,0010379659243381913
72,0;73,0;0,0010295271769858482
73,0;74,0;0,0012236183660897376
74,0;75,0;9,873334402241331E-4
75,0;76,0;9,029459667007029E-4
76,0;77,0;0,0010126496822811621
77,0;78,0;9,7889469287179E-4
78,0;79,0;7,932422511202437E-4
79,0;80,0;0,923097695378098
