#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;9,620446170880906E-4
1,5;0,001013199648185399
2,5;9,422426695665519E-4
3,5;0,001013199648185399
4,5;9,7194559084886E-4
5,5;0,0010742556530434768
6,5;9,98348187544245E-4
7,5;0,0010346517580003994
8,5;9,818465646096294E-4
9,5;9,86797051490014E-4
10,5;0,0010264009465330915
11,5;9,752459154357831E-4
12,5;9,917475383703987E-4
13,5;0,0010214504596527069
14,5;9,752459154357831E-4
15,5;9,851468891965524E-4
16,5;9,45542994153475E-4
17,5;9,471931564469366E-4
18,5;9,999983498377065E-4
19,5;9,999983498377065E-4
20,5;9,1914039745809E-4
21,5;0,0010478530563480918
22,5;0,0010065989990115528
23,5;9,686452662619368E-4
24,5;0,001013199648185399
25,5;9,686452662619368E-4
26,5;9,98348187544245E-4
27,5;9,686452662619368E-4
28,5;9,620446170880906E-4
29,5;9,471931564469366E-4
30,5;8,795365024150125E-4
31,5;9,851468891965524E-4
32,5;9,537938056207828E-4
33,5;0,0010082491613050144
34,5;9,933977006638603E-4
35,5;9,587442925011675E-4
36,5;0,0010049488367180912
37,5;0,0010016485121311682
38,5;9,587442925011675E-4
39,5;9,834967269030908E-4
40,5;9,95047862957322E-4
41,5;8,960381253496282E-4
42,5;9,224407220450131E-4
43,5;9,57094130207706E-4
44,5;0,001009899323598476
45,5;9,372921826861671E-4
46,5;9,884472137834757E-4
47,5;9,438928318600135E-4
48,5;9,273912089253978E-4
49,5;8,960381253496282E-4
50,5;9,521436433273212E-4
51,5;9,323416958057825E-4
52,5;0,0010181501350657836
53,5;0,0010115494858919374
54,5;9,45542994153475E-4
55,5;0,001009899323598476
56,5;9,620446170880906E-4
57,5;9,273912089253978E-4
58,5;9,735957531423216E-4
59,5;9,07589261403859E-4
60,5;9,488433187403981E-4
61,5;8,531339057196275E-4
62,5;9,273912089253978E-4
63,5;9,90097376076937E-4
64,5;9,587442925011675E-4
65,5;9,686452662619368E-4
66,5;9,851468891965524E-4
67,5;9,092394236973207E-4
68,5;8,960381253496282E-4
69,5;9,306915335123209E-4
70,5;9,653449416750137E-4
71,5;9,405925072730903E-4
72,5;9,587442925011675E-4
73,5;9,818465646096294E-4
74,5;9,669951039684753E-4
75,5;9,224407220450131E-4
76,5;9,07589261403859E-4
77,5;9,521436433273212E-4
78,5;8,77886340121551E-4
79,5;0,923670092953642
