#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;9;10.0;0.0;0.0;0.0;10.0;10.0
waiting time/customer;9;0.0;0.0;0.0;0.0;0.0;0.0
