#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;9;11.0;0.0;0.0;0.0;11.0;11.0
waiting time/customer;9;4.0;6.666666666666668;2.5819888974716116;0.6454972243679029;0.0;8.0
