#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;8,260510412590756E-4
1,5;0,001260814747184905
2,5;9,130037824442416E-4
3,5;9,999565236294074E-4
4,5;9,564801530368245E-4
5,5;0,0011303856354071562
6,5;9,564801530368245E-4
7,5;9,130037824442416E-4
8,5;7,390983000739098E-4
9,5;9,130037824442416E-4
10,5;6,956219294813269E-4
11,5;0,0011738620059997392
12,5;0,0011303856354071562
13,5;9,130037824442416E-4
14,5;9,564801530368245E-4
15,5;8,695274118516586E-4
16,5;6,956219294813269E-4
17,5;0,0010869092648145733
18,5;0,0011738620059997392
19,5;6,08669188296161E-4
20,5;0,001260814747184905
21,5;6,956219294813269E-4
22,5;9,564801530368245E-4
23,5;0,001217338376592322
24,5;9,564801530368245E-4
25,5;0,001260814747184905
26,5;9,130037824442416E-4
27,5;0,0010869092648145733
28,5;6,52145558888744E-4
29,5;9,999565236294074E-4
30,5;9,130037824442416E-4
31,5;5,217164471109951E-4
32,5;0,0010869092648145733
33,5;0,0011303856354071562
34,5;0,0013477674883700709
35,5;0,0014781966001478197
36,5;8,260510412590756E-4
37,5;9,999565236294074E-4
38,5;0,001217338376592322
39,5;9,130037824442416E-4
40,5;8,260510412590756E-4
41,5;8,260510412590756E-4
42,5;8,695274118516586E-4
43,5;8,260510412590756E-4
44,5;0,0011738620059997392
45,5;7,825746706664928E-4
46,5;0,001217338376592322
47,5;9,130037824442416E-4
48,5;9,999565236294074E-4
49,5;0,001304291117777488
50,5;0,0011303856354071562
51,5;0,0010869092648145733
52,5;0,0010869092648145733
53,5;8,695274118516586E-4
54,5;9,564801530368245E-4
55,5;8,695274118516586E-4
56,5;7,390983000739098E-4
57,5;0,001217338376592322
58,5;0,0010869092648145733
59,5;8,260510412590756E-4
60,5;8,695274118516586E-4
61,5;6,52145558888744E-4
62,5;8,695274118516586E-4
63,5;0,0011303856354071562
64,5;9,130037824442416E-4
65,5;8,695274118516586E-4
66,5;7,825746706664928E-4
67,5;8,695274118516586E-4
68,5;9,564801530368245E-4
69,5;9,130037824442416E-4
70,5;6,08669188296161E-4
71,5;0,0011303856354071562
72,5;6,956219294813269E-4
73,5;0,0010434328942219902
74,5;9,564801530368245E-4
75,5;9,999565236294074E-4
76,5;0,0011303856354071562
77,5;8,260510412590756E-4
78,5;8,695274118516586E-4
79,5;0,9239598278335724
