#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,001051019488904237
1,5;0,0012912525149394913
2,5;9,609321041410168E-4
3,5;0,0010810486171586439
4,5;9,3090297588661E-4
5,5;0,0011711360019218643
6,5;9,008738476322032E-4
7,5;8,107864628689829E-4
8,5;8,708447193777964E-4
9,5;8,408155911233897E-4
10,5;6,306116933425422E-4
11,5;0,0010810486171586439
12,5;0,0011110777454130508
13,5;9,609321041410168E-4
14,5;7,807573346145762E-4
15,5;0,0010209903606498304
16,5;8,408155911233897E-4
17,5;9,609321041410168E-4
18,5;0,001201165130176271
19,5;6,906699498513559E-4
20,5;0,0011411068736674574
21,5;6,906699498513559E-4
22,5;8,708447193777964E-4
23,5;0,0011110777454130508
24,5;7,507282063601694E-4
25,5;0,001201165130176271
26,5;9,3090297588661E-4
27,5;0,0010810486171586439
28,5;7,206990781057626E-4
29,5;9,609321041410168E-4
30,5;7,807573346145762E-4
31,5;7,807573346145762E-4
32,5;9,909612323954235E-4
33,5;0,0011411068736674574
34,5;0,0012612233866850845
35,5;0,0012912525149394913
36,5;8,708447193777964E-4
37,5;9,609321041410168E-4
38,5;0,0011711360019218643
39,5;8,408155911233897E-4
40,5;8,107864628689829E-4
41,5;8,708447193777964E-4
42,5;9,3090297588661E-4
43,5;9,3090297588661E-4
44,5;9,909612323954235E-4
45,5;8,408155911233897E-4
46,5;0,0010810486171586439
47,5;0,001051019488904237
48,5;8,708447193777964E-4
49,5;0,001201165130176271
50,5;0,0011110777454130508
51,5;9,609321041410168E-4
52,5;0,0011711360019218643
53,5;7,507282063601694E-4
54,5;9,008738476322032E-4
55,5;8,408155911233897E-4
56,5;7,206990781057626E-4
57,5;0,0010810486171586439
58,5;0,0010810486171586439
59,5;9,609321041410168E-4
60,5;8,408155911233897E-4
61,5;6,906699498513559E-4
62,5;8,708447193777964E-4
63,5;9,008738476322032E-4
64,5;8,107864628689829E-4
65,5;0,001051019488904237
66,5;8,708447193777964E-4
67,5;0,0010810486171586439
68,5;9,008738476322032E-4
69,5;9,008738476322032E-4
70,5;7,206990781057626E-4
71,5;0,0011411068736674574
72,5;7,807573346145762E-4
73,5;0,0010810486171586439
74,5;8,107864628689829E-4
75,5;0,0010810486171586439
76,5;0,001321281643193898
77,5;9,008738476322032E-4
78,5;8,708447193777964E-4
79,5;0,924476742440167
