#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
server utilization/time;64002;0.4501693129929875;0.24751690263240916;0.4975107060480298;1.105163527785333;0.0;1.0
queue occupancy/time;32001;0.08393376798198277;0.1328658311724815;0.3645076558489293;4.342801051504974;0.0;6.0
