#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
waiting time (lag=0);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.238935305437173E8;0.9999899727258144
waiting time (lag=1);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.230038067582171E8;0.9972430365258158
waiting time (lag=2);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.22124044733851E8;0.9945268563005603
waiting time (lag=3);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.2124779836240315E8;0.991821530313918
waiting time (lag=4);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.2038468137482435E8;0.9891567400310765
waiting time (lag=5);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.195252305296866E8;0.986503268608706
waiting time (lag=6);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.186775454993707E8;0.9838861230024856
waiting time (lag=7);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.178274511366947E8;0.9812615388154545
waiting time (lag=8);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.169837770686274E8;0.9786567766675355
waiting time (lag=9);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.1614876040785086E8;0.976078743427928
waiting time (lag=10);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.153217887382158E8;0.9735255483209582
waiting time (lag=11);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.145108795595525E8;0.9710219446024975
waiting time (lag=12);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.1370530364084786E8;0.968534806808724
waiting time (lag=13);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.1290423995142925E8;0.9660616000867847
waiting time (lag=14);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.1210607131620264E8;0.9635973315648695
waiting time (lag=15);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.1131609715598106E8;0.9611583626925738
waiting time (lag=16);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.1052465273719746E8;0.9587148545390617
waiting time (lag=17);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.097492998418585E8;0.9563210274090127
waiting time (lag=18);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.089841530313059E8;0.9539587105793703
waiting time (lag=19);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.082251178986087E8;0.9516152629644405
waiting time (lag=20);99728;18640.10711134285;3.238967783455216E8;17997.13250341625;0.9655058522954871;0.0;101424.0;3.074636381166197E8;0.9492642677310867
