#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,0010404323574463167
1,5;0,0012716395479899425
2,5;9,8263055981041E-4
3,5;0,0010982341550822231
4,5;9,248287621745037E-4
5,5;0,0011560359527181296
6,5;8,670269645385971E-4
7,5;8,670269645385971E-4
8,5;8,381260657206439E-4
9,5;8,092251669026907E-4
10,5;6,06918875177018E-4
11,5;0,0011271350539001762
12,5;0,0010693332562642698
13,5;9,537296609924569E-4
14,5;8,381260657206439E-4
15,5;9,8263055981041E-4
16,5;8,670269645385971E-4
17,5;9,248287621745037E-4
18,5;0,0011849368515360827
19,5;7,22522470448831E-4
20,5;0,0010982341550822231
21,5;7,22522470448831E-4
22,5;8,381260657206439E-4
23,5;0,0010982341550822231
24,5;8,092251669026907E-4
25,5;0,0011560359527181296
26,5;9,8263055981041E-4
27,5;0,0011560359527181296
28,5;7,514233692667842E-4
29,5;9,8263055981041E-4
30,5;8,092251669026907E-4
31,5;7,514233692667842E-4
32,5;9,537296609924569E-4
33,5;0,0011849368515360827
34,5;0,0012427386491719893
35,5;0,001329441345625849
36,5;8,670269645385971E-4
37,5;9,8263055981041E-4
38,5;0,0011560359527181296
39,5;8,092251669026907E-4
40,5;8,381260657206439E-4
41,5;8,959278633565503E-4
42,5;9,248287621745037E-4
43,5;8,959278633565503E-4
44,5;0,0010115314586283633
45,5;8,959278633565503E-4
46,5;0,0011271350539001762
47,5;0,0010404323574463167
48,5;8,670269645385971E-4
49,5;0,0011560359527181296
50,5;0,0010693332562642698
51,5;9,537296609924569E-4
52,5;0,0011560359527181296
53,5;7,22522470448831E-4
54,5;8,670269645385971E-4
55,5;8,959278633565503E-4
56,5;7,514233692667842E-4
57,5;0,0010982341550822231
58,5;0,0011271350539001762
59,5;9,537296609924569E-4
60,5;8,381260657206439E-4
61,5;7,22522470448831E-4
62,5;8,959278633565503E-4
63,5;8,959278633565503E-4
64,5;8,381260657206439E-4
65,5;0,0010115314586283633
66,5;8,959278633565503E-4
67,5;0,0010404323574463167
68,5;8,670269645385971E-4
69,5;8,959278633565503E-4
70,5;7,514233692667842E-4
71,5;0,0011271350539001762
72,5;7,803242680847375E-4
73,5;0,0010404323574463167
74,5;8,381260657206439E-4
75,5;0,0010693332562642698
76,5;0,0012716395479899425
77,5;8,670269645385971E-4
78,5;8,381260657206439E-4
79,5;0,9244530504898703
