#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,7477529551169041
1,0;2,0;2,3120719054362592E-4
2,0;3,0;1,445044940897662E-4
3,0;4,0;1,445044940897662E-4
4,0;5,0;1,7340539290771942E-4
5,0;6,0;1,7340539290771942E-4
6,0;7,0;1,445044940897662E-4
7,0;8,0;5,780179763590648E-5
8,0;9,0;1,445044940897662E-4
9,0;10,0;1,7340539290771942E-4
10,0;11,0;1,445044940897662E-4
11,0;12,0;3,4681078581543884E-4
12,0;13,0;2,6010808936157917E-4
13,0;14,0;1,445044940897662E-4
14,0;15,0;2,0230629172567267E-4
15,0;16,0;2,3120719054362592E-4
16,0;17,0;2,0230629172567267E-4
17,0;18,0;1,1560359527181296E-4
18,0;19,0;8,670269645385971E-5
19,0;20,0;1,445044940897662E-4
20,0;21,0;1,7340539290771942E-4
21,0;22,0;2,0230629172567267E-4
22,0;23,0;1,1560359527181296E-4
23,0;24,0;2,0230629172567267E-4
24,0;25,0;8,670269645385971E-5
25,0;26,0;8,670269645385971E-5
26,0;27,0;1,7340539290771942E-4
27,0;28,0;1,7340539290771942E-4
28,0;29,0;2,0230629172567267E-4
29,0;30,0;1,1560359527181296E-4
30,0;31,0;1,445044940897662E-4
31,0;32,0;1,1560359527181296E-4
32,0;33,0;2,3120719054362592E-4
33,0;34,0;2,890089881795324E-4
34,0;35,0;1,445044940897662E-4
35,0;36,0;2,890089881795324E-4
36,0;37,0;1,445044940897662E-4
37,0;38,0;2,0230629172567267E-4
38,0;39,0;1,7340539290771942E-4
39,0;40,0;1,7340539290771942E-4
40,0;41,0;2,3120719054362592E-4
41,0;42,0;2,6010808936157917E-4
42,0;43,0;2,0230629172567267E-4
43,0;44,0;1,1560359527181296E-4
44,0;45,0;8,670269645385971E-5
45,0;46,0;8,670269645385971E-5
46,0;47,0;2,6010808936157917E-4
47,0;48,0;2,3120719054362592E-4
48,0;49,0;2,0230629172567267E-4
49,0;50,0;1,7340539290771942E-4
50,0;51,0;1,7340539290771942E-4
51,0;52,0;2,0230629172567267E-4
52,0;53,0;2,3120719054362592E-4
53,0;54,0;1,445044940897662E-4
54,0;55,0;2,890089881795324E-4
55,0;56,0;2,890089881795324E-5
56,0;57,0;1,445044940897662E-4
57,0;58,0;2,0230629172567267E-4
58,0;59,0;5,780179763590648E-5
59,0;60,0;2,3120719054362592E-4
60,0;61,0;8,670269645385971E-5
61,0;62,0;1,445044940897662E-4
62,0;63,0;1,7340539290771942E-4
63,0;64,0;2,890089881795324E-5
64,0;65,0;2,0230629172567267E-4
65,0;66,0;2,890089881795324E-4
66,0;67,0;2,6010808936157917E-4
67,0;68,0;2,890089881795324E-4
68,0;69,0;1,7340539290771942E-4
69,0;70,0;1,445044940897662E-4
70,0;71,0;1,445044940897662E-4
71,0;72,0;2,890089881795324E-4
72,0;73,0;2,0230629172567267E-4
73,0;74,0;1,1560359527181296E-4
74,0;75,0;1,7340539290771942E-4
75,0;76,0;1,445044940897662E-4
76,0;77,0;1,445044940897662E-4
77,0;78,0;2,890089881795324E-4
78,0;79,0;2,890089881795324E-4
79,0;80,0;0,23840351434929627
