#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
waiting time/customer;23601;841.3300899961877;2376591.2949218983;1541.619698538488;1.8323601127180338;0.0;14538.668
service time/customer;23601;1004.8413636710303;1011806.5858984512;1005.8859706241315;1.0010395739973172;0.007;9378.723
waiting time with batch means;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
service time of last batch;1;696.4;NaN;NaN;NaN;696.4;696.4
waiting time of last batch;1;0.0;NaN;NaN;1.7976931348623157E308;0.0;0.0
service time with batch means;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
