#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,0010541851149061775
1,5;0,001325261287310623
2,5;9,638263907713623E-4
3,5;0,0011144242643293877
4,5;9,035872413481522E-4
5,5;0,0011746634137525978
6,5;8,734676666365471E-4
7,5;8,43348091924942E-4
8,5;7,831089425017318E-4
9,5;8,43348091924942E-4
10,5;6,325110689437065E-4
11,5;0,0010541851149061775
12,5;0,0011144242643293877
13,5;9,337068160597573E-4
14,5;8,43348091924942E-4
15,5;0,0010240655401945725
16,5;8,734676666365471E-4
17,5;9,638263907713623E-4
18,5;0,0011746634137525978
19,5;6,927502183669167E-4
20,5;0,0011445438390409928
21,5;6,927502183669167E-4
22,5;8,13228517213337E-4
23,5;0,0011144242643293877
24,5;7,831089425017318E-4
25,5;0,0011746634137525978
26,5;9,337068160597573E-4
27,5;0,0011445438390409928
28,5;6,927502183669167E-4
29,5;0,0010240655401945725
30,5;8,43348091924942E-4
31,5;7,529893677901268E-4
32,5;9,638263907713623E-4
33,5;0,0011445438390409928
34,5;0,001265022137887413
35,5;0,001325261287310623
36,5;8,43348091924942E-4
37,5;9,939459654829674E-4
38,5;0,0011445438390409928
39,5;8,43348091924942E-4
40,5;8,13228517213337E-4
41,5;9,035872413481522E-4
42,5;9,337068160597573E-4
43,5;9,337068160597573E-4
44,5;0,0010240655401945725
45,5;8,43348091924942E-4
46,5;0,0011144242643293877
47,5;0,0010240655401945725
48,5;8,734676666365471E-4
49,5;0,0011746634137525978
50,5;0,0011144242643293877
51,5;9,939459654829674E-4
52,5;0,0011445438390409928
53,5;7,529893677901268E-4
54,5;8,734676666365471E-4
55,5;8,734676666365471E-4
56,5;7,831089425017318E-4
57,5;0,0011144242643293877
58,5;0,0010541851149061775
59,5;9,638263907713623E-4
60,5;7,831089425017318E-4
61,5;7,529893677901268E-4
62,5;9,337068160597573E-4
63,5;9,337068160597573E-4
64,5;8,734676666365471E-4
65,5;0,0010541851149061775
66,5;8,734676666365471E-4
67,5;0,0010843046896177825
68,5;9,035872413481522E-4
69,5;9,035872413481522E-4
70,5;6,927502183669167E-4
71,5;0,0011144242643293877
72,5;7,529893677901268E-4
73,5;0,0010541851149061775
74,5;8,43348091924942E-4
75,5;0,0011144242643293877
76,5;0,001265022137887413
77,5;9,035872413481522E-4
78,5;8,43348091924942E-4
79,5;0,9241890304508901
