#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;999;10.0;0.0;0.0;0.0;10.0;10.0
waiting time/customer;999;0.0;0.0;0.0;0.0;0.0;0.0
