#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,7492500576878701
1,5;7,691716021844474E-5
2,5;1,5383432043688947E-4
3,5;1,5383432043688947E-4
4,5;2,307514806553342E-4
5,5;2,307514806553342E-4
6,5;2,307514806553342E-4
7,5;7,691716021844474E-5
8,5;1,5383432043688947E-4
9,5;2,307514806553342E-4
10,5;7,691716021844474E-5
11,5;6,153372817475579E-4
12,5;2,307514806553342E-4
13,5;7,691716021844474E-5
14,5;7,691716021844474E-5
15,5;1,5383432043688947E-4
16,5;7,691716021844474E-5
17,5;0,0
18,5;2,307514806553342E-4
19,5;1,5383432043688947E-4
20,5;2,307514806553342E-4
21,5;1,5383432043688947E-4
22,5;1,5383432043688947E-4
23,5;1,5383432043688947E-4
24,5;0,0
25,5;0,0
26,5;1,5383432043688947E-4
27,5;2,307514806553342E-4
28,5;3,0766864087377894E-4
29,5;7,691716021844474E-5
30,5;1,5383432043688947E-4
31,5;1,5383432043688947E-4
32,5;1,5383432043688947E-4
33,5;5,384201215291131E-4
34,5;1,5383432043688947E-4
35,5;4,615029613106684E-4
36,5;1,5383432043688947E-4
37,5;1,5383432043688947E-4
38,5;2,307514806553342E-4
39,5;1,5383432043688947E-4
40,5;2,307514806553342E-4
41,5;3,0766864087377894E-4
42,5;3,8458580109222365E-4
43,5;1,5383432043688947E-4
44,5;1,5383432043688947E-4
45,5;0,0
46,5;4,615029613106684E-4
47,5;1,5383432043688947E-4
48,5;1,5383432043688947E-4
49,5;3,0766864087377894E-4
50,5;3,0766864087377894E-4
51,5;2,307514806553342E-4
52,5;2,307514806553342E-4
53,5;2,307514806553342E-4
54,5;3,0766864087377894E-4
55,5;7,691716021844474E-5
56,5;2,307514806553342E-4
57,5;3,8458580109222365E-4
58,5;7,691716021844474E-5
59,5;7,691716021844474E-5
60,5;0,0
61,5;2,307514806553342E-4
62,5;1,5383432043688947E-4
63,5;7,691716021844474E-5
64,5;7,691716021844474E-5
65,5;1,5383432043688947E-4
66,5;7,691716021844474E-5
67,5;3,0766864087377894E-4
68,5;1,5383432043688947E-4
69,5;7,691716021844474E-5
70,5;3,0766864087377894E-4
71,5;3,0766864087377894E-4
72,5;3,0766864087377894E-4
73,5;1,5383432043688947E-4
74,5;1,5383432043688947E-4
75,5;2,307514806553342E-4
76,5;3,0766864087377894E-4
77,5;3,8458580109222365E-4
78,5;1,5383432043688947E-4
79,5;0,23567417890931466
