#histogram type: discrete-time histogram
#service_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;9,620446170880906E-4
1,0;2,0;0,001013199648185399
2,0;3,0;9,422426695665519E-4
3,0;4,0;0,001013199648185399
4,0;5,0;9,7194559084886E-4
5,0;6,0;0,0010742556530434768
6,0;7,0;9,98348187544245E-4
7,0;8,0;0,0010346517580003994
8,0;9,0;9,818465646096294E-4
9,0;10,0;9,86797051490014E-4
10,0;11,0;0,0010264009465330915
11,0;12,0;9,752459154357831E-4
12,0;13,0;9,917475383703987E-4
13,0;14,0;0,0010214504596527069
14,0;15,0;9,752459154357831E-4
15,0;16,0;9,851468891965524E-4
16,0;17,0;9,45542994153475E-4
17,0;18,0;9,471931564469366E-4
18,0;19,0;9,999983498377065E-4
19,0;20,0;9,999983498377065E-4
20,0;21,0;9,1914039745809E-4
21,0;22,0;0,0010478530563480918
22,0;23,0;0,0010065989990115528
23,0;24,0;9,686452662619368E-4
24,0;25,0;0,001013199648185399
25,0;26,0;9,686452662619368E-4
26,0;27,0;9,98348187544245E-4
27,0;28,0;9,686452662619368E-4
28,0;29,0;9,620446170880906E-4
29,0;30,0;9,471931564469366E-4
30,0;31,0;8,795365024150125E-4
31,0;32,0;9,851468891965524E-4
32,0;33,0;9,537938056207828E-4
33,0;34,0;0,0010082491613050144
34,0;35,0;9,933977006638603E-4
35,0;36,0;9,587442925011675E-4
36,0;37,0;0,0010049488367180912
37,0;38,0;0,0010016485121311682
38,0;39,0;9,587442925011675E-4
39,0;40,0;9,834967269030908E-4
40,0;41,0;9,95047862957322E-4
41,0;42,0;8,960381253496282E-4
42,0;43,0;9,224407220450131E-4
43,0;44,0;9,57094130207706E-4
44,0;45,0;0,001009899323598476
45,0;46,0;9,372921826861671E-4
46,0;47,0;9,884472137834757E-4
47,0;48,0;9,438928318600135E-4
48,0;49,0;9,273912089253978E-4
49,0;50,0;8,960381253496282E-4
50,0;51,0;9,521436433273212E-4
51,0;52,0;9,323416958057825E-4
52,0;53,0;0,0010181501350657836
53,0;54,0;0,0010115494858919374
54,0;55,0;9,45542994153475E-4
55,0;56,0;0,001009899323598476
56,0;57,0;9,620446170880906E-4
57,0;58,0;9,273912089253978E-4
58,0;59,0;9,735957531423216E-4
59,0;60,0;9,07589261403859E-4
60,0;61,0;9,488433187403981E-4
61,0;62,0;8,531339057196275E-4
62,0;63,0;9,273912089253978E-4
63,0;64,0;9,90097376076937E-4
64,0;65,0;9,587442925011675E-4
65,0;66,0;9,686452662619368E-4
66,0;67,0;9,851468891965524E-4
67,0;68,0;9,092394236973207E-4
68,0;69,0;8,960381253496282E-4
69,0;70,0;9,306915335123209E-4
70,0;71,0;9,653449416750137E-4
71,0;72,0;9,405925072730903E-4
72,0;73,0;9,587442925011675E-4
73,0;74,0;9,818465646096294E-4
74,0;75,0;9,669951039684753E-4
75,0;76,0;9,224407220450131E-4
76,0;77,0;9,07589261403859E-4
77,0;78,0;9,521436433273212E-4
78,0;79,0;8,77886340121551E-4
79,0;80,0;0,923670092953642
