#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,04295042417421754
1,0;2,0;3,300324586923124E-5
2,0;3,0;5,115503109730842E-5
3,0;4,0;4,290421963000061E-5
4,0;5,0;4,125405733653905E-5
5,0;6,0;5,940584256461623E-5
6,0;7,0;5,7755680271154666E-5
7,0;8,0;2,8052758988846553E-5
8,0;9,0;3,960389504307749E-5
9,0;10,0;4,620454421692374E-5
10,0;11,0;2,9702921282308116E-5
11,0;12,0;5,4455355684231545E-5
12,0;13,0;4,455438192346217E-5
13,0;14,0;4,290421963000061E-5
14,0;15,0;4,78547065103853E-5
15,0;16,0;3,300324586923124E-5
16,0;17,0;4,620454421692374E-5
17,0;18,0;4,78547065103853E-5
18,0;19,0;4,950486880384686E-5
19,0;20,0;3,960389504307749E-5
20,0;21,0;3,960389504307749E-5
21,0;22,0;3,960389504307749E-5
22,0;23,0;5,4455355684231545E-5
23,0;24,0;5,6105517977693105E-5
24,0;25,0;2,6402596695384992E-5
25,0;26,0;4,950486880384686E-5
26,0;27,0;3,960389504307749E-5
27,0;28,0;4,290421963000061E-5
28,0;29,0;3,630357045615436E-5
29,0;30,0;4,125405733653905E-5
30,0;31,0;5,2805193390769985E-5
31,0;32,0;2,8052758988846553E-5
32,0;33,0;3,630357045615436E-5
33,0;34,0;6,600649173846248E-5
34,0;35,0;3,46534081626928E-5
35,0;36,0;4,78547065103853E-5
36,0;37,0;4,125405733653905E-5
37,0;38,0;3,795373274961592E-5
38,0;39,0;4,455438192346217E-5
39,0;40,0;2,310227210846187E-5
40,0;41,0;4,125405733653905E-5
41,0;42,0;2,475243440192343E-5
42,0;43,0;3,135308357576968E-5
43,0;44,0;4,620454421692374E-5
44,0;45,0;4,620454421692374E-5
45,0;46,0;3,960389504307749E-5
46,0;47,0;3,300324586923124E-5
47,0;48,0;5,115503109730842E-5
48,0;49,0;4,620454421692374E-5
49,0;50,0;3,795373274961592E-5
50,0;51,0;3,960389504307749E-5
51,0;52,0;2,8052758988846553E-5
52,0;53,0;4,290421963000061E-5
53,0;54,0;4,950486880384686E-5
54,0;55,0;2,310227210846187E-5
55,0;56,0;4,290421963000061E-5
56,0;57,0;3,135308357576968E-5
57,0;58,0;4,125405733653905E-5
58,0;59,0;3,46534081626928E-5
59,0;60,0;3,300324586923124E-5
60,0;61,0;4,455438192346217E-5
61,0;62,0;4,620454421692374E-5
62,0;63,0;4,125405733653905E-5
63,0;64,0;3,630357045615436E-5
64,0;65,0;3,630357045615436E-5
65,0;66,0;3,630357045615436E-5
66,0;67,0;5,6105517977693105E-5
67,0;68,0;3,135308357576968E-5
68,0;69,0;4,620454421692374E-5
69,0;70,0;2,8052758988846553E-5
70,0;71,0;2,9702921282308116E-5
71,0;72,0;5,2805193390769985E-5
72,0;73,0;3,795373274961592E-5
73,0;74,0;4,950486880384686E-5
74,0;75,0;5,2805193390769985E-5
75,0;76,0;5,115503109730842E-5
76,0;77,0;5,4455355684231545E-5
77,0;78,0;3,795373274961592E-5
78,0;79,0;3,795373274961592E-5
79,0;80,0;0,9538053567568371
