#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,3555184607635573
1,0;2,0;0,1276600208579204
2,0;3,0;0,1020172869855281
3,0;4,0;0,08188623777261218
4,0;5,0;0,06749582673589867
5,0;6,0;0,05360299334197773
6,0;7,0;0,04360597978784954
7,0;8,0;0,03454957068140567
8,0;9,0;0,028169732687094075
9,0;10,0;0,020495204806345826
10,0;11,0;0,01769625181442787
11,0;12,0;0,013296994241831554
12,0;13,0;0,010934897960032667
13,0;14,0;0,008249206707815033
14,0;15,0;0,005533804999244788
15,0;16,0;0,004917705535957032
16,0;17,0;0,004127243394458539
17,0;18,0;0,003340501310100123
18,0;19,0;0,0025158386432815607
19,0;20,0;0,0020022507545715902
20,0;21,0;0,0020922821374536314
21,0;22,0;0,0013470106900841997
22,0;23,0;0,0012949398902767147
23,0;24,0;0,0010543161942967443
24,0;25,0;8,149325173634667E-4
25,0;26,0;8,814935397407704E-4
26,0;27,0;7,830120270647357E-4
27,0;28,0;9,066739265115113E-4
28,0;29,0;5,628686456623974E-4
29,0;30,0;5,540285098779117E-4
30,0;31,0;4,478268786208556E-4
31,0;32,0;2,5791396155844953E-4
32,0;33,0;2,862543968675359E-4
33,0;34,0;2,702041503357492E-4
34,0;35,0;2,408036987448127E-4
35,0;36,0;2,491838274635898E-4
36,0;37,0;9,003138288204107E-5
37,0;38,0;6,67610254493509E-5
38,0;39,0;7,12610945704126E-5
39,0;40,0;1,0841166520317752E-4
40,0;41,0;1,600024576377493E-7
41,0;42,0;3,620055604054078E-6
42,0;43,0;0,0
43,0;44,0;0,0
44,0;45,0;0,0
45,0;46,0;0,0
46,0;47,0;0,0
47,0;48,0;0,0
48,0;49,0;0,0
49,0;50,0;0,0
50,0;51,0;0,0
51,0;52,0;0,0
52,0;53,0;0,0
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
