#histogram type: discrete-time histogram
#service_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;7,691716021844473E-4
1,5;0,0010768402430582262
2,5;8,460887624028921E-4
3,5;0,0013075917237135605
4,5;0,0010768402430582262
5,5;9,230059226213368E-4
6,5;7,691716021844473E-4
7,5;9,999230828397815E-4
8,5;5,384201215291131E-4
9,5;9,230059226213368E-4
10,5;6,153372817475579E-4
11,5;0,0016152603645873394
12,5;6,153372817475579E-4
13,5;8,460887624028921E-4
14,5;9,999230828397815E-4
15,5;6,922544419660026E-4
16,5;6,922544419660026E-4
17,5;9,999230828397815E-4
18,5;0,00146142604415045
19,5;5,384201215291131E-4
20,5;0,0012306745634951158
21,5;6,922544419660026E-4
22,5;6,153372817475579E-4
23,5;0,0012306745634951158
24,5;8,460887624028921E-4
25,5;0,00146142604415045
26,5;6,153372817475579E-4
27,5;9,230059226213368E-4
28,5;4,615029613106684E-4
29,5;0,0013845088839320053
30,5;7,691716021844473E-4
31,5;4,615029613106684E-4
32,5;9,999230828397815E-4
33,5;0,001153757403276671
34,5;0,0012306745634951158
35,5;0,0013075917237135605
36,5;9,999230828397815E-4
37,5;0,0012306745634951158
38,5;8,460887624028921E-4
39,5;0,0010768402430582262
40,5;7,691716021844473E-4
41,5;8,460887624028921E-4
42,5;7,691716021844473E-4
43,5;0,0010768402430582262
44,5;0,0010768402430582262
45,5;6,922544419660026E-4
46,5;0,001153757403276671
47,5;7,691716021844473E-4
48,5;9,999230828397815E-4
49,5;0,0013845088839320053
50,5;0,0013075917237135605
51,5;0,0010768402430582262
52,5;0,0010768402430582262
53,5;9,230059226213368E-4
54,5;0,0010768402430582262
55,5;8,460887624028921E-4
56,5;9,999230828397815E-4
57,5;0,0013845088839320053
58,5;9,999230828397815E-4
59,5;0,0010768402430582262
60,5;6,153372817475579E-4
61,5;4,615029613106684E-4
62,5;0,0012306745634951158
63,5;0,0010768402430582262
64,5;0,001153757403276671
65,5;0,0010768402430582262
66,5;0,0010768402430582262
67,5;9,230059226213368E-4
68,5;7,691716021844473E-4
69,5;7,691716021844473E-4
70,5;9,230059226213368E-4
71,5;8,460887624028921E-4
72,5;6,153372817475579E-4
73,5;8,460887624028921E-4
74,5;7,691716021844473E-4
75,5;9,230059226213368E-4
76,5;9,230059226213368E-4
77,5;8,460887624028921E-4
78,5;9,230059226213368E-4
79,5;0,9250826859472349
