#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
mean_batch_waiting_time (lag=0);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;33597.65362676693;0.9971098265895961
mean_batch_waiting_time (lag=1);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;-189.6604118401592;-0.005628734150952393
mean_batch_waiting_time (lag=2);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;-1031.8481329275091;-0.03062314780429963
mean_batch_waiting_time (lag=3);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;1468.0777527053724;0.04356955309087045
mean_batch_waiting_time (lag=4);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;-1617.354348182227;-0.04799977794774046
mean_batch_waiting_time (lag=5);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;-877.8175736386765;-0.026051834998704587
mean_batch_waiting_time (lag=6);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;-1805.6761633573042;-0.05358878528016497
mean_batch_waiting_time (lag=7);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;1734.0862169159373;0.05146414170014902
mean_batch_waiting_time (lag=8);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;665.4293028246175;0.019748584354071716
mean_batch_waiting_time (lag=9);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;4294.407768888021;0.12744926277618157
mean_batch_waiting_time (lag=10);346;344.950841098266;33695.038130032895;183.56208249535877;0.5321398316088394;58.183640000000004;1390.8730500000006;-1729.0628467317729;-0.0513150583198371
