#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
waiting time/customer;34601;344.94087170890975;797196.523257163;892.8586244513534;2.5884396361264574;0.0;10909.147
service time/customer;34601;1006.4600503453638;1019568.6529344299;1009.7369226360051;1.003255839404174;0.007;9960.307
service time of last batch;1;1446.657;NaN;NaN;NaN;1446.657;1446.657
waiting time of last batch;1;0.0;NaN;NaN;1.7976931348623157E308;0.0;0.0
