#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,5458180606464512
1,5;0,0
2,5;3,332222592469177E-4
3,5;3,332222592469177E-4
4,5;0,0
5,5;3,332222592469177E-4
6,5;6,664445184938354E-4
7,5;6,664445184938354E-4
8,5;0,0
9,5;0,0013328890369876708
10,5;3,332222592469177E-4
11,5;3,332222592469177E-4
12,5;0,0
13,5;6,664445184938354E-4
14,5;0,0
15,5;0,0
16,5;0,0
17,5;0,0
18,5;3,332222592469177E-4
19,5;0,0
20,5;6,664445184938354E-4
21,5;0,0
22,5;0,0
23,5;0,0
24,5;0,0
25,5;0,0
26,5;0,0
27,5;3,332222592469177E-4
28,5;3,332222592469177E-4
29,5;3,332222592469177E-4
30,5;0,0
31,5;3,332222592469177E-4
32,5;3,332222592469177E-4
33,5;6,664445184938354E-4
34,5;3,332222592469177E-4
35,5;0,0
36,5;3,332222592469177E-4
37,5;3,332222592469177E-4
38,5;6,664445184938354E-4
39,5;3,332222592469177E-4
40,5;0,0
41,5;3,332222592469177E-4
42,5;3,332222592469177E-4
43,5;0,0
44,5;3,332222592469177E-4
45,5;3,332222592469177E-4
46,5;0,0
47,5;3,332222592469177E-4
48,5;0,0
49,5;0,0
50,5;6,664445184938354E-4
51,5;0,0
52,5;0,0
53,5;3,332222592469177E-4
54,5;0,0
55,5;0,0
56,5;6,664445184938354E-4
57,5;0,0
58,5;0,0
59,5;0,0
60,5;3,332222592469177E-4
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;3,332222592469177E-4
67,5;6,664445184938354E-4
68,5;3,332222592469177E-4
69,5;0,0
70,5;0,0
71,5;0,0
72,5;6,664445184938354E-4
73,5;0,0
74,5;0,0
75,5;3,332222592469177E-4
76,5;0,0
77,5;3,332222592469177E-4
78,5;0,0
79,5;0,43752082639120293
