#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,7477529551169041
1,5;2,3120719054362592E-4
2,5;1,445044940897662E-4
3,5;1,445044940897662E-4
4,5;1,7340539290771942E-4
5,5;1,7340539290771942E-4
6,5;1,445044940897662E-4
7,5;5,780179763590648E-5
8,5;1,445044940897662E-4
9,5;1,7340539290771942E-4
10,5;1,445044940897662E-4
11,5;3,4681078581543884E-4
12,5;2,6010808936157917E-4
13,5;1,445044940897662E-4
14,5;2,0230629172567267E-4
15,5;2,3120719054362592E-4
16,5;2,0230629172567267E-4
17,5;1,1560359527181296E-4
18,5;8,670269645385971E-5
19,5;1,445044940897662E-4
20,5;1,7340539290771942E-4
21,5;2,0230629172567267E-4
22,5;1,1560359527181296E-4
23,5;2,0230629172567267E-4
24,5;8,670269645385971E-5
25,5;8,670269645385971E-5
26,5;1,7340539290771942E-4
27,5;1,7340539290771942E-4
28,5;2,0230629172567267E-4
29,5;1,1560359527181296E-4
30,5;1,445044940897662E-4
31,5;1,1560359527181296E-4
32,5;2,3120719054362592E-4
33,5;2,890089881795324E-4
34,5;1,445044940897662E-4
35,5;2,890089881795324E-4
36,5;1,445044940897662E-4
37,5;2,0230629172567267E-4
38,5;1,7340539290771942E-4
39,5;1,7340539290771942E-4
40,5;2,3120719054362592E-4
41,5;2,6010808936157917E-4
42,5;2,0230629172567267E-4
43,5;1,1560359527181296E-4
44,5;8,670269645385971E-5
45,5;8,670269645385971E-5
46,5;2,6010808936157917E-4
47,5;2,3120719054362592E-4
48,5;2,0230629172567267E-4
49,5;1,7340539290771942E-4
50,5;1,7340539290771942E-4
51,5;2,0230629172567267E-4
52,5;2,3120719054362592E-4
53,5;1,445044940897662E-4
54,5;2,890089881795324E-4
55,5;2,890089881795324E-5
56,5;1,445044940897662E-4
57,5;2,0230629172567267E-4
58,5;5,780179763590648E-5
59,5;2,3120719054362592E-4
60,5;8,670269645385971E-5
61,5;1,445044940897662E-4
62,5;1,7340539290771942E-4
63,5;2,890089881795324E-5
64,5;2,0230629172567267E-4
65,5;2,890089881795324E-4
66,5;2,6010808936157917E-4
67,5;2,890089881795324E-4
68,5;1,7340539290771942E-4
69,5;1,445044940897662E-4
70,5;1,445044940897662E-4
71,5;2,890089881795324E-4
72,5;2,0230629172567267E-4
73,5;1,1560359527181296E-4
74,5;1,7340539290771942E-4
75,5;1,445044940897662E-4
76,5;1,445044940897662E-4
77,5;2,890089881795324E-4
78,5;2,890089881795324E-4
79,5;0,23840351434929627
