#histogram type: discrete-time histogram
#service_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;8,897928053896022E-4
1,0;2,0;0,001271132579128003
2,0;3,0;8,897928053896022E-4
3,0;4,0;9,74534977331469E-4
4,0;5,0;9,74534977331469E-4
5,0;6,0;0,0011016482352442694
6,0;7,0;9,321638913605356E-4
7,0;8,0;9,321638913605356E-4
8,0;9,0;7,626795474768018E-4
9,0;10,0;8,897928053896022E-4
10,0;11,0;7,203084615058684E-4
11,0;12,0;0,0011440193212152027
12,0;13,0;0,0011440193212152027
13,0;14,0;9,321638913605356E-4
14,0;15,0;9,321638913605356E-4
15,0;16,0;9,321638913605356E-4
16,0;17,0;7,203084615058684E-4
17,0;18,0;0,0010592771492733358
18,0;19,0;0,0011863904071861362
19,0;20,0;5,931952035930681E-4
20,0;21,0;0,0012287614931570695
21,0;22,0;6,77937375534935E-4
22,0;23,0;9,321638913605356E-4
23,0;24,0;0,0012287614931570695
24,0;25,0;9,321638913605356E-4
25,0;26,0;0,001271132579128003
26,0;27,0;0,0010169060633024025
27,0;28,0;0,0011440193212152027
28,0;29,0;6,77937375534935E-4
29,0;30,0;0,0010169060633024025
30,0;31,0;8,897928053896022E-4
31,0;32,0;5,084530316512013E-4
32,0;33,0;0,0011016482352442694
33,0;34,0;0,0011440193212152027
34,0;35,0;0,0013982458370408034
35,0;36,0;0,0014406169230117367
36,0;37,0;8,897928053896022E-4
37,0;38,0;9,74534977331469E-4
38,0;39,0;0,0011863904071861362
39,0;40,0;9,321638913605356E-4
40,0;41,0;8,050506334477353E-4
41,0;42,0;8,050506334477353E-4
42,0;43,0;8,474217194186687E-4
43,0;44,0;8,474217194186687E-4
44,0;45,0;0,0011440193212152027
45,0;46,0;7,626795474768018E-4
46,0;47,0;0,0011863904071861362
47,0;48,0;9,321638913605356E-4
48,0;49,0;0,0010592771492733358
49,0;50,0;0,0013135036650989366
50,0;51,0;0,0011440193212152027
51,0;52,0;0,0011016482352442694
52,0;53,0;0,0010592771492733358
53,0;54,0;8,897928053896022E-4
54,0;55,0;9,321638913605356E-4
55,0;56,0;8,474217194186687E-4
56,0;57,0;7,626795474768018E-4
57,0;58,0;0,0011863904071861362
58,0;59,0;0,0010592771492733358
59,0;60,0;8,474217194186687E-4
60,0;61,0;8,474217194186687E-4
61,0;62,0;7,626795474768018E-4
62,0;63,0;8,474217194186687E-4
63,0;64,0;0,0011440193212152027
64,0;65,0;9,321638913605356E-4
65,0;66,0;9,321638913605356E-4
66,0;67,0;8,050506334477353E-4
67,0;68,0;8,474217194186687E-4
68,0;69,0;9,74534977331469E-4
69,0;70,0;9,321638913605356E-4
70,0;71,0;6,77937375534935E-4
71,0;72,0;0,0011440193212152027
72,0;73,0;6,77937375534935E-4
73,0;74,0;0,0011016482352442694
74,0;75,0;9,321638913605356E-4
75,0;76,0;0,0010169060633024025
76,0;77,0;0,0011016482352442694
77,0;78,0;8,897928053896022E-4
78,0;79,0;8,474217194186687E-4
79,0;80,0;0,9234778187364943
