#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;1;2.0;0.0;0.0;0.0;2.0;2.0
waiting time/customer;1;0.0;0.0;0.0;0.0;0.0;0.0
