#histogram type: continuous-time histogram
#queueOccupancy
#lowerBound ; upperBound ; probability density
0,0;5,0;0,00112011201120112
5,0;10,0;0,0011001100110011003
10,0;15,0;0,0011001100110011003
15,0;20,0;0,0011001100110011003
20,0;25,0;0,0011001100110011003
25,0;30,0;0,0011001100110011003
30,0;35,0;0,0011001100110011003
35,0;40,0;0,0011001100110011003
40,0;45,0;0,0011001100110011003
45,0;50,0;0,19007900790079008
