#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,7491015905752946
1,0;2,0;9,374707040404987E-5
2,0;3,0;3,4373925814818287E-4
3,0;4,0;3,7498828161619947E-4
4,0;5,0;1,5624511734008313E-4
5,0;6,0;3,1249023468016626E-4
6,0;7,0;1,249960938720665E-4
7,0;8,0;1,8749414080809974E-4
8,0;9,0;1,5624511734008313E-4
9,0;10,0;1,5624511734008313E-4
10,0;11,0;1,5624511734008313E-4
11,0;12,0;1,249960938720665E-4
12,0;13,0;1,8749414080809974E-4
13,0;14,0;2,812412112121496E-4
14,0;15,0;6,249804693603325E-5
15,0;16,0;9,374707040404987E-5
16,0;17,0;1,5624511734008313E-4
17,0;18,0;1,8749414080809974E-4
18,0;19,0;2,1874316427611637E-4
19,0;20,0;9,374707040404987E-5
20,0;21,0;3,7498828161619947E-4
21,0;22,0;2,1874316427611637E-4
22,0;23,0;2,49992187744133E-4
23,0;24,0;1,5624511734008313E-4
24,0;25,0;1,5624511734008313E-4
25,0;26,0;9,374707040404987E-5
26,0;27,0;1,249960938720665E-4
27,0;28,0;2,812412112121496E-4
28,0;29,0;9,374707040404987E-5
29,0;30,0;6,249804693603325E-5
30,0;31,0;2,1874316427611637E-4
31,0;32,0;1,5624511734008313E-4
32,0;33,0;2,1874316427611637E-4
33,0;34,0;1,8749414080809974E-4
34,0;35,0;9,374707040404987E-5
35,0;36,0;2,49992187744133E-4
36,0;37,0;1,5624511734008313E-4
37,0;38,0;1,8749414080809974E-4
38,0;39,0;1,8749414080809974E-4
39,0;40,0;2,1874316427611637E-4
40,0;41,0;1,249960938720665E-4
41,0;42,0;3,1249023468016626E-4
42,0;43,0;1,249960938720665E-4
43,0;44,0;6,249804693603325E-5
44,0;45,0;3,4373925814818287E-4
45,0;46,0;2,1874316427611637E-4
46,0;47,0;2,1874316427611637E-4
47,0;48,0;1,8749414080809974E-4
48,0;49,0;2,1874316427611637E-4
49,0;50,0;1,5624511734008313E-4
50,0;51,0;1,5624511734008313E-4
51,0;52,0;3,1249023468016626E-4
52,0;53,0;2,49992187744133E-4
53,0;54,0;2,812412112121496E-4
54,0;55,0;3,1249023468016625E-5
55,0;56,0;2,1874316427611637E-4
56,0;57,0;1,5624511734008313E-4
57,0;58,0;9,374707040404987E-5
58,0;59,0;1,5624511734008313E-4
59,0;60,0;1,249960938720665E-4
60,0;61,0;9,374707040404987E-5
61,0;62,0;2,812412112121496E-4
62,0;63,0;2,812412112121496E-4
63,0;64,0;9,374707040404987E-5
64,0;65,0;9,374707040404987E-5
65,0;66,0;2,1874316427611637E-4
66,0;67,0;1,8749414080809974E-4
67,0;68,0;1,5624511734008313E-4
68,0;69,0;1,5624511734008313E-4
69,0;70,0;1,249960938720665E-4
70,0;71,0;1,249960938720665E-4
71,0;72,0;2,49992187744133E-4
72,0;73,0;3,1249023468016625E-5
73,0;74,0;1,249960938720665E-4
74,0;75,0;1,5624511734008313E-4
75,0;76,0;2,1874316427611637E-4
76,0;77,0;3,1249023468016626E-4
77,0;78,0;1,5624511734008313E-4
78,0;79,0;1,5624511734008313E-4
79,0;80,0;0,23677385081716196
