#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,7491015905752946
1,5;9,374707040404987E-5
2,5;3,4373925814818287E-4
3,5;3,7498828161619947E-4
4,5;1,5624511734008313E-4
5,5;3,1249023468016626E-4
6,5;1,249960938720665E-4
7,5;1,8749414080809974E-4
8,5;1,5624511734008313E-4
9,5;1,5624511734008313E-4
10,5;1,5624511734008313E-4
11,5;1,249960938720665E-4
12,5;1,8749414080809974E-4
13,5;2,812412112121496E-4
14,5;6,249804693603325E-5
15,5;9,374707040404987E-5
16,5;1,5624511734008313E-4
17,5;1,8749414080809974E-4
18,5;2,1874316427611637E-4
19,5;9,374707040404987E-5
20,5;3,7498828161619947E-4
21,5;2,1874316427611637E-4
22,5;2,49992187744133E-4
23,5;1,5624511734008313E-4
24,5;1,5624511734008313E-4
25,5;9,374707040404987E-5
26,5;1,249960938720665E-4
27,5;2,812412112121496E-4
28,5;9,374707040404987E-5
29,5;6,249804693603325E-5
30,5;2,1874316427611637E-4
31,5;1,5624511734008313E-4
32,5;2,1874316427611637E-4
33,5;1,8749414080809974E-4
34,5;9,374707040404987E-5
35,5;2,49992187744133E-4
36,5;1,5624511734008313E-4
37,5;1,8749414080809974E-4
38,5;1,8749414080809974E-4
39,5;2,1874316427611637E-4
40,5;1,249960938720665E-4
41,5;3,1249023468016626E-4
42,5;1,249960938720665E-4
43,5;6,249804693603325E-5
44,5;3,4373925814818287E-4
45,5;2,1874316427611637E-4
46,5;2,1874316427611637E-4
47,5;1,8749414080809974E-4
48,5;2,1874316427611637E-4
49,5;1,5624511734008313E-4
50,5;1,5624511734008313E-4
51,5;3,1249023468016626E-4
52,5;2,49992187744133E-4
53,5;2,812412112121496E-4
54,5;3,1249023468016625E-5
55,5;2,1874316427611637E-4
56,5;1,5624511734008313E-4
57,5;9,374707040404987E-5
58,5;1,5624511734008313E-4
59,5;1,249960938720665E-4
60,5;9,374707040404987E-5
61,5;2,812412112121496E-4
62,5;2,812412112121496E-4
63,5;9,374707040404987E-5
64,5;9,374707040404987E-5
65,5;2,1874316427611637E-4
66,5;1,8749414080809974E-4
67,5;1,5624511734008313E-4
68,5;1,5624511734008313E-4
69,5;1,249960938720665E-4
70,5;1,249960938720665E-4
71,5;2,49992187744133E-4
72,5;3,1249023468016625E-5
73,5;1,249960938720665E-4
74,5;1,5624511734008313E-4
75,5;2,1874316427611637E-4
76,5;3,1249023468016626E-4
77,5;1,5624511734008313E-4
78,5;1,5624511734008313E-4
79,5;0,23677385081716196
