#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
waiting time/customer;3001;838.4755084971677;2198016.566946022;1482.5709315058157;1.7681744028076447;0.0;9608.269
service time/customer;3001;995.6137537487516;1001876.3310559276;1000.9377258630666;1.005347427247031;0.43;9161.577
service time of last batch;1;439.693;NaN;NaN;NaN;439.693;439.693
waiting time of last batch;1;0.0;NaN;NaN;1.7976931348623157E308;0.0;0.0
